Recompte,Edats,G̬nere,Color,Any
585,0 - 9,Dones,#6C3F7D,2013
501,10 - 19,Dones,#6C3F7D,2013
647,20 - 29,Dones,#6C3F7D,2013
954,30 - 39,Dones,#6C3F7D,2013
834,40 - 49,Dones,#6C3F7D,2013
793,50 - 59,Dones,#6C3F7D,2013
693,60 - 69,Dones,#6C3F7D,2013
516,70 - 79,Dones,#6C3F7D,2013
441,80 - 89,Dones,#6C3F7D,2013
64,90 - 99,Dones,#6C3F7D,2013
1,100 - 109,Dones,#6C3F7D,2013
613,0 - 9,Homes,#FFB357,2013
609,10 - 19,Homes,#FFB357,2013
677,20 - 29,Homes,#FFB357,2013
1012,30 - 39,Homes,#FFB357,2013
918,40 - 49,Homes,#FFB357,2013
799,50 - 59,Homes,#FFB357,2013
639,60 - 69,Homes,#FFB357,2013
488,70 - 79,Homes,#FFB357,2013
300,80 - 89,Homes,#FFB357,2013
43,90 - 99,Homes,#FFB357,2013
0,100 - 109,Homes,#FFB357,2013
552,0 - 9,Dones,#6C3F7D,2014
511,10 - 19,Dones,#6C3F7D,2014
613,20 - 29,Dones,#6C3F7D,2014
940,30 - 39,Dones,#6C3F7D,2014
831,40 - 49,Dones,#6C3F7D,2014
790,50 - 59,Dones,#6C3F7D,2014
700,60 - 69,Dones,#6C3F7D,2014
530,70 - 79,Dones,#6C3F7D,2014
424,80 - 89,Dones,#6C3F7D,2014
71,90 - 99,Dones,#6C3F7D,2014
3,100 - 109,Dones,#6C3F7D,2014
601,0 - 9,Homes,#FFB357,2014
625,10 - 19,Homes,#FFB357,2014
638,20 - 29,Homes,#FFB357,2014
1007,30 - 39,Homes,#FFB357,2014
949,40 - 49,Homes,#FFB357,2014
820,50 - 59,Homes,#FFB357,2014
631,60 - 69,Homes,#FFB357,2014
500,70 - 79,Homes,#FFB357,2014
295,80 - 89,Homes,#FFB357,2014
46,90 - 99,Homes,#FFB357,2014
1,100 - 109,Homes,#FFB357,2014
533,0 - 9,Dones,#6C3F7D,2015
525,10 - 19,Dones,#6C3F7D,2015
565,20 - 29,Dones,#6C3F7D,2015
915,30 - 39,Dones,#6C3F7D,2015
860,40 - 49,Dones,#6C3F7D,2015
787,50 - 59,Dones,#6C3F7D,2015
708,60 - 69,Dones,#6C3F7D,2015
524,70 - 79,Dones,#6C3F7D,2015
427,80 - 89,Dones,#6C3F7D,2015
75,90 - 99,Dones,#6C3F7D,2015
3,100 - 109,Dones,#6C3F7D,2015
573,0 - 9,Homes,#FFB357,2015
639,10 - 19,Homes,#FFB357,2015
597,20 - 29,Homes,#FFB357,2015
989,30 - 39,Homes,#FFB357,2015
980,40 - 49,Homes,#FFB357,2015
830,50 - 59,Homes,#FFB357,2015
630,60 - 69,Homes,#FFB357,2015
494,70 - 79,Homes,#FFB357,2015
302,80 - 89,Homes,#FFB357,2015
49,90 - 99,Homes,#FFB357,2015
1,100 - 109,Homes,#FFB357,2015
530,0 - 9,Dones,#6C3F7D,2016
541,10 - 19,Dones,#6C3F7D,2016
560,20 - 29,Dones,#6C3F7D,2016
883,30 - 39,Dones,#6C3F7D,2016
876,40 - 49,Dones,#6C3F7D,2016
800,50 - 59,Dones,#6C3F7D,2016
710,60 - 69,Dones,#6C3F7D,2016
527,70 - 79,Dones,#6C3F7D,2016
423,80 - 89,Dones,#6C3F7D,2016
86,90 - 99,Dones,#6C3F7D,2016
1,100 - 109,Dones,#6C3F7D,2016
575,0 - 9,Homes,#FFB357,2016
629,10 - 19,Homes,#FFB357,2016
574,20 - 29,Homes,#FFB357,2016
952,30 - 39,Homes,#FFB357,2016
990,40 - 49,Homes,#FFB357,2016
848,50 - 59,Homes,#FFB357,2016
621,60 - 69,Homes,#FFB357,2016
498,70 - 79,Homes,#FFB357,2016
301,80 - 89,Homes,#FFB357,2016
51,90 - 99,Homes,#FFB357,2016
1,100 - 109,Homes,#FFB357,2016
525,0 - 9,Dones,#6C3F7D,2017
561,10 - 19,Dones,#6C3F7D,2017
541,20 - 29,Dones,#6C3F7D,2017
856,30 - 39,Dones,#6C3F7D,2017
881,40 - 49,Dones,#6C3F7D,2017
821,50 - 59,Dones,#6C3F7D,2017
704,60 - 69,Dones,#6C3F7D,2017
537,70 - 79,Dones,#6C3F7D,2017
427,80 - 89,Dones,#6C3F7D,2017
90,90 - 99,Dones,#6C3F7D,2017
0,100 - 109,Dones,#6C3F7D,2017
562,0 - 9,Homes,#FFB357,2017
646,10 - 19,Homes,#FFB357,2017
570,20 - 29,Homes,#FFB357,2017
893,30 - 39,Homes,#FFB357,2017
1019,40 - 49,Homes,#FFB357,2017
874,50 - 59,Homes,#FFB357,2017
631,60 - 69,Homes,#FFB357,2017
511,70 - 79,Homes,#FFB357,2017
296,80 - 89,Homes,#FFB357,2017
48,90 - 99,Homes,#FFB357,2017
2,100 - 109,Homes,#FFB357,2017
